message,category,response,timestamp
Where is my order?,Order Status,You can track your order using the tracking link sent to your email.,2026-03-01 09:10:00
I can't track my order,Order Status,Please check the tracking link sent to your email.,2026-03-01 10:20:00
My package has not arrived yet,Delivery Delay,Delivery usually takes 3-5 business days.,2026-03-01 11:05:00
My delivery is late,Delivery Delay,We apologize for the delay. Your order is in transit.,2026-03-01 12:40:00
I want a refund for my order,Refund Request,Refunds can be requested within 7 days of delivery.,2026-03-01 13:15:00
Please refund my money,Refund Request,Our team will initiate the refund process shortly.,2026-03-01 14:25:00
The product I received is damaged,Product Issue,Please upload photos and we will replace the product.,2026-03-02 09:45:00
My item arrived broken,Product Issue,We will arrange a replacement for the damaged product.,2026-03-02 10:35:00
Payment failed but money was deducted,Payment Problem,Please share the transaction ID with support.,2026-03-02 11:55:00
My card was charged twice,Payment Problem,We will investigate and process the refund if applicable.,2026-03-02 13:20:00
How do I cancel my subscription?,Subscription Issue,Go to account settings and click cancel subscription.,2026-03-02 14:10:00
I want to stop my subscription,Subscription Issue,You can cancel your subscription from account settings.,2026-03-02 15:30:00
Do you ship internationally?,General Query,Yes we ship internationally to select countries.,2026-03-03 09:20:00
What payment methods do you accept?,General Query,We accept cards UPI and net banking.,2026-03-03 10:10:00
Where can I see my order details?,Order Status,Login to your account and view your orders.,2026-03-03 11:00:00
My shipment hasn't moved for days,Delivery Delay,Your package may be delayed due to logistics issues.,2026-03-03 12:30:00
I want to return my order,Refund Request,Returns are accepted within 7 days of delivery.,2026-03-03 14:10:00
The packaging was damaged,Product Issue,Please send images of the packaging to support.,2026-03-04 09:15:00
Payment page shows error,Payment Problem,Try again after clearing browser cache.,2026-03-04 10:50:00
How long does shipping take?,General Query,Shipping usually takes 3-5 business days.,2026-03-04 12:25:00
Where is my delivery?,Order Status,Please check the tracking link in your email.,2026-03-04 13:40:00
My delivery is taking too long,Delivery Delay,We are checking the shipment status.,2026-03-04 14:30:00
I want my money back,Refund Request,Our refund team will review your request.,2026-03-05 09:20:00
